@RELATION 05-TRAINING-WIDGET

@ATTRIBUTE positionleft NUMERIC
@ATTRIBUTE positiontop NUMERIC
@ATTRIBUTE width NUMERIC
@ATTRIBUTE height NUMERIC
@ATTRIBUTE childcount NUMERIC
@ATTRIBUTE domheight NUMERIC
@ATTRIBUTE domlevelmoreelements NUMERIC
@ATTRIBUTE domlevelelements NUMERIC
@ATTRIBUTE domwidth NUMERIC
@ATTRIBUTE mousex NUMERIC
@ATTRIBUTE mousey NUMERIC
@ATTRIBUTE numwords NUMERIC
@ATTRIBUTE numwordschild NUMERIC
@ATTRIBUTE numlinks NUMERIC
@ATTRIBUTE widget {Other,Dropdown}

@DATA
763.0,594.0,55.0,55.0,0.0,0.0,1.0,1.0,0.0,1352.0,2509.0,0.0,0.0,0.0,Other
657.0,594.0,55.0,55.0,0.0,0.0,1.0,1.0,0.0,1352.0,2509.0,0.0,0.0,0.0,Other
551.0,594.0,55.0,55.0,0.0,0.0,1.0,1.0,0.0,1352.0,2509.0,0.0,0.0,0.0,Other
445.0,594.0,55.0,55.0,0.0,0.0,1.0,1.0,0.0,1352.0,2509.0,0.0,0.0,0.0,Other
339.0,594.0,55.0,55.0,0.0,0.0,1.0,1.0,0.0,1352.0,2509.0,0.0,0.0,0.0,Other
1070.0,1189.0,200.0,140.0,0.0,0.0,1.0,1.0,0.0,1352.0,2509.0,0.0,0.0,0.0,Other
1070.0,906.0,200.0,140.0,0.0,0.0,1.0,1.0,0.0,1352.0,2509.0,0.0,0.0,0.0,Other
740.0,906.0,300.0,200.0,0.0,0.0,1.0,1.0,0.0,1352.0,2509.0,0.0,0.0,0.0,Other
410.0,1133.0,80.0,80.0,0.0,0.0,1.0,1.0,0.0,1352.0,2509.0,0.0,0.0,0.0,Other
80.0,1133.0,80.0,80.0,0.0,0.0,1.0,1.0,0.0,1352.0,2509.0,0.0,0.0,0.0,Other
51.0,305.0,13.0,30.0,2.0,2.0,1.0,1.0,1.0,1352.0,2509.0,1.0,1.0,0.0,Other
1070.0,766.0,200.0,140.0,0.0,0.0,1.0,1.0,0.0,1352.0,2509.0,0.0,0.0,0.0,Other
740.0,803.0,80.0,80.0,0.0,0.0,1.0,1.0,0.0,1352.0,2509.0,0.0,0.0,0.0,Other
410.0,553.0,80.0,80.0,0.0,0.0,1.0,1.0,0.0,1352.0,2509.0,0.0,0.0,0.0,Other
80.0,774.0,142.0,100.0,0.0,0.0,1.0,1.0,0.0,1352.0,2509.0,0.0,0.0,0.0,Other
80.0,553.0,300.0,100.0,0.0,0.0,1.0,1.0,0.0,1352.0,2509.0,0.0,0.0,0.0,Other
80.0,1056.0,1190.0,148.0,41.0,7.0,3.0,8.0,20.0,1352.0,2509.0,56.0,4.67,4.0,Other
100.0,1076.0,1150.0,0.0,40.0,6.0,2.0,8.0,20.0,1352.0,2509.0,56.0,4.67,4.0,Other
80.0,1056.0,1190.0,140.0,42.0,8.0,4.0,8.0,20.0,1352.0,2509.0,56.0,4.67,4.0,Other
348.0,1076.0,30.0,20.0,4.0,3.0,1.0,1.0,2.0,1352.0,2509.0,2.0,2.0,0.0,Other
635.0,1076.0,30.0,20.0,4.0,3.0,1.0,1.0,2.0,1352.0,2509.0,2.0,2.0,0.0,Other
923.0,1076.0,30.0,20.0,4.0,3.0,1.0,1.0,2.0,1352.0,2509.0,2.0,2.0,0.0,Other
1210.0,1076.0,30.0,20.0,4.0,3.0,1.0,1.0,2.0,1352.0,2509.0,2.0,2.0,0.0,Other
80.0,94.0,64.0,56.0,0.0,0.0,1.0,1.0,0.0,81.0,4862.0,0.0,0.0,0.0,Other
80.0,149.0,191.0,426.0,49.0,7.0,4.0,15.0,15.0,81.0,4862.0,24.0,1.6,15.0,Dropdown
125.0,3981.0,145.0,220.0,3.0,2.0,1.0,1.0,2.0,538.0,4868.0,9.0,9.0,0.0,Other
125.0,3981.0,145.0,220.0,1.0,1.0,1.0,1.0,1.0,538.0,4868.0,0.0,0.0,0.0,Other
125.0,3961.0,145.0,220.0,1.0,1.0,1.0,1.0,1.0,538.0,5206.0,0.0,0.0,0.0,Other
84.0,952.0,1182.0,0.0,41.0,5.0,2.0,10.0,21.0,538.0,5212.0,56.0,3.5,10.0,Other
284.0,3507.0,145.0,220.0,3.0,2.0,1.0,1.0,2.0,538.0,5212.0,9.0,9.0,0.0,Other
284.0,3507.0,145.0,220.0,1.0,1.0,1.0,1.0,1.0,538.0,5212.0,0.0,0.0,0.0,Other
443.0,3507.0,145.0,220.0,3.0,2.0,1.0,1.0,2.0,538.0,5212.0,9.0,9.0,0.0,Other
443.0,3507.0,145.0,220.0,1.0,1.0,1.0,1.0,1.0,538.0,5212.0,0.0,0.0,0.0,Other
602.0,3507.0,145.0,220.0,3.0,2.0,1.0,1.0,2.0,538.0,5212.0,9.0,9.0,0.0,Other
602.0,3507.0,145.0,220.0,1.0,1.0,1.0,1.0,1.0,538.0,5212.0,0.0,0.0,0.0,Other
761.0,3507.0,145.0,220.0,3.0,2.0,1.0,1.0,2.0,538.0,5212.0,9.0,9.0,0.0,Other
761.0,3507.0,145.0,220.0,1.0,1.0,1.0,1.0,1.0,538.0,5212.0,0.0,0.0,0.0,Other
920.0,3507.0,145.0,220.0,3.0,2.0,1.0,1.0,2.0,538.0,5212.0,9.0,9.0,0.0,Other
920.0,3507.0,145.0,220.0,1.0,1.0,1.0,1.0,1.0,538.0,5212.0,0.0,0.0,0.0,Other
1080.0,3507.0,145.0,220.0,3.0,2.0,1.0,1.0,2.0,538.0,5212.0,9.0,9.0,0.0,Other
1080.0,3507.0,145.0,220.0,1.0,1.0,1.0,1.0,1.0,538.0,5212.0,0.0,0.0,0.0,Other
284.0,3506.0,145.0,220.0,1.0,1.0,1.0,1.0,1.0,538.0,5212.0,0.0,0.0,0.0,Other
443.0,3506.0,145.0,220.0,1.0,1.0,1.0,1.0,1.0,538.0,5212.0,0.0,0.0,0.0,Other
602.0,3506.0,145.0,220.0,1.0,1.0,1.0,1.0,1.0,538.0,5212.0,0.0,0.0,0.0,Other
761.0,3506.0,145.0,220.0,1.0,1.0,1.0,1.0,1.0,538.0,5212.0,0.0,0.0,0.0,Other
920.0,3506.0,145.0,220.0,1.0,1.0,1.0,1.0,1.0,538.0,5212.0,0.0,0.0,0.0,Other
1080.0,3506.0,145.0,220.0,1.0,1.0,1.0,1.0,1.0,538.0,5212.0,0.0,0.0,0.0,Other
995.0,919.0,275.0,183.0,0.0,0.0,1.0,1.0,0.0,538.0,5667.0,0.0,0.0,0.0,Other
690.0,919.0,275.0,380.0,0.0,0.0,1.0,1.0,0.0,538.0,5667.0,0.0,0.0,0.0,Other
385.0,919.0,275.0,183.0,0.0,0.0,1.0,1.0,0.0,538.0,5667.0,0.0,0.0,0.0,Other
80.0,919.0,275.0,380.0,0.0,0.0,1.0,1.0,0.0,538.0,5667.0,0.0,0.0,0.0,Other
125.0,2947.0,145.0,220.0,0.0,0.0,1.0,1.0,0.0,538.0,5667.0,0.0,0.0,0.0,Other
51.0,337.0,13.0,30.0,2.0,2.0,1.0,1.0,1.0,538.0,6236.0,1.0,1.0,0.0,Other
995.0,1204.0,275.0,275.0,0.0,0.0,1.0,1.0,0.0,538.0,6236.0,0.0,0.0,0.0,Other
690.0,1204.0,275.0,275.0,0.0,0.0,1.0,1.0,0.0,538.0,6236.0,0.0,0.0,0.0,Other
385.0,1204.0,275.0,275.0,0.0,0.0,1.0,1.0,0.0,538.0,6236.0,0.0,0.0,0.0,Other
80.0,1204.0,275.0,275.0,0.0,0.0,1.0,1.0,0.0,538.0,6236.0,0.0,0.0,0.0,Other
995.0,696.0,142.0,100.0,0.0,0.0,1.0,1.0,0.0,538.0,6236.0,0.0,0.0,0.0,Other
385.0,696.0,142.0,100.0,0.0,0.0,1.0,1.0,0.0,538.0,6236.0,0.0,0.0,0.0,Other
284.0,2937.0,145.0,220.0,0.0,0.0,1.0,1.0,0.0,538.0,6236.0,0.0,0.0,0.0,Other
443.0,2937.0,145.0,220.0,0.0,0.0,1.0,1.0,0.0,538.0,6236.0,0.0,0.0,0.0,Other
602.0,2937.0,145.0,220.0,0.0,0.0,1.0,1.0,0.0,538.0,6236.0,0.0,0.0,0.0,Other
761.0,2937.0,145.0,220.0,0.0,0.0,1.0,1.0,0.0,538.0,6236.0,0.0,0.0,0.0,Other
920.0,2937.0,145.0,220.0,0.0,0.0,1.0,1.0,0.0,538.0,6236.0,0.0,0.0,0.0,Other
1080.0,2937.0,145.0,220.0,0.0,0.0,1.0,1.0,0.0,538.0,6236.0,0.0,0.0,0.0,Other
